總類,起始,結束,版本
C,2DA8,2DAE,4.1
R,2DAF,2DAF,0
C,2DB0,2DB6,4.1
R,2DB7,2DB7,0
C,2DB8,2DBE,4.1
R,2DBF,2DBF,0
C,2DC0,2DC6,4.1
R,2DC7,2DC7,0
C,2DC8,2DCE,4.1
R,2DCF,2DCF,0
C,2DD0,2DD6,4.1
R,2DD7,2DD7,0
C,2DD8,2DDE,4.1
R,2DDF,2DDF,0
C,2DE0,2DFF,5.1
C,2E00,2E17,4.1
C,2E18,2E1B,5.1
C,2E1C,2E1D,4.1
C,2E1E,2E30,5.1
C,2E31,2E31,5.2
C,2E32,2E3B,6.1
C,2E3C,2E42,7.0
C,2E43,2E44,9.0
C,2E45,2E49,10.0
C,2E4A,2E4E,11.0
C,2E4F,2E4F,12.0
R,2E50,2E7F,0
C,2E80,2E99,3.0
R,2E9A,2E9A,0
C,2E9B,2EF3,3.0
R,2EF4,2EFF,0
C,2F00,2FD5,3.0
R,2FD6,2FEF,0
C,2FF0,2FFB,3.0
R,2FFC,2FFF,0
C,3000,3037,1.1
C,3038,303A,3.0
C,303B,303D,3.2
C,303E,303E,3.0
C,303F,303F,1.1
R,3040,3040,0
C,3041,3094,1.1
C,3095,3096,3.2
R,3097,3098,0
C,3099,309E,1.1
C,309F,30A0,3.2
C,30A1,30FE,1.1
C,30FF,30FF,3.2
R,3100,3104,0
C,3105,312C,1.1
C,312D,312D,5.1
C,312E,312E,10.0
C,312F,312F,11.0
R,3130,3130,0
C,3131,318E,1.1
R,318F,318F,0
C,3190,319F,1.1
C,31A0,31B7,3.0
C,31B8,31BA,6.0
R,31BB,31BF,0
C,31C0,31CF,4.1
C,31D0,31E3,5.1
R,31E4,31EF,0
C,31F0,31FF,3.2
C,3200,321C,1.1
C,321D,321E,4.0
R,321F,321F,0
C,3220,3243,1.1
C,3244,324F,5.2
C,3250,3250,4.0
C,3251,325F,3.2
C,3260,327B,1.1
C,327C,327D,4.0
C,327E,327E,4.1
C,327F,32B0,1.1
C,32B1,32BF,3.2
C,32C0,32CB,1.1
C,32CC,32CF,4.0
C,32D0,32FE,1.1
C,32FF,32FF,12.1
C,3300,3376,1.1
C,3377,337A,4.0
C,337B,33DD,1.1
C,33DE,33DF,4.0
C,33E0,33FE,1.1
C,33FF,33FF,4.0
C,3400,4DB5,3.0
R,4DB6,4DBF,0
C,4DC0,4DFF,4.0
C,4E00,9FA5,1.1
C,9FA6,9FBB,4.1
C,9FBC,9FC3,5.1
C,9FC4,9FCB,5.2
C,9FCC,9FCC,6.1
C,9FCD,9FD5,8.0
C,9FD6,9FEA,10.0
C,9FEB,9FEF,11.0
R,9FF0,9FFF,0
C,A000,A48C,3.0
R,A48D,A48F,0
C,A490,A4A1,3.0
C,A4A2,A4A3,3.2
C,A4A4,A4B3,3.0
C,A4B4,A4B4,3.2
C,A4B5,A4C0,3.0
C,A4C1,A4C1,3.2
C,A4C2,A4C4,3.0
C,A4C5,A4C5,3.2
C,A4C6,A4C6,3.0
R,A4C7,A4CF,0
C,A4D0,A4FF,5.2
C,A500,A62B,5.1
R,A62C,A63F,0
C,A640,A65F,5.1
C,A660,A661,6.0
C,A662,A673,5.1
C,A674,A67B,6.1
C,A67C,A697,5.1
C,A698,A69D,7.0
C,A69E,A69E,8.0
C,A69F,A69F,6.1
C,A6A0,A6F7,5.2
R,A6F8,A6FF,0
C,A700,A716,4.1
C,A717,A71A,5.0
C,A71B,A71F,5.1
C,A720,A721,5.0
C,A722,A78C,5.1
C,A78D,A78E,6.0
C,A78F,A78F,8.0
C,A790,A791,6.0
C,A792,A793,6.1
C,A794,A79F,7.0
C,A7A0,A7A9,6.0
C,A7AA,A7AA,6.1
C,A7AB,A7AD,7.0
C,A7AE,A7AE,9.0
C,A7AF,A7AF,11.0
C,A7B0,A7B1,7.0
C,A7B2,A7B7,8.0
C,A7B8,A7B9,11.0
C,A7BA,A7BF,12.0
R,A7C0,A7C1,0
C,A7C2,A7C6,12.0
R,A7C7,A7F6,0
C,A7F7,A7F7,7.0
C,A7F8,A7F9,6.1
C,A7FA,A7FA,6.0
C,A7FB,A7FF,5.1
C,A800,A82B,4.1
R,A82C,A82F,0
C,A830,A839,5.2
R,A83A,A83F,0
C,A840,A877,5.0
R,A878,A87F,0
C,A880,A8C4,5.1
C,A8C5,A8C5,9.0
R,A8C6,A8CD,0
C,A8CE,A8D9,5.1
R,A8DA,A8DF,0
C,A8E0,A8FB,5.2
C,A8FC,A8FD,8.0
C,A8FE,A8FF,11.0
C,A900,A953,5.1
R,A954,A95E,0
C,A95F,A95F,5.1
C,A960,A97C,5.2
R,A97D,A97F,0
C,A980,A9CD,5.2
R,A9CE,A9CE,0
C,A9CF,A9D9,5.2
R,A9DA,A9DD,0
C,A9DE,A9DF,5.2
C,A9E0,A9FE,7.0
R,A9FF,A9FF,0
C,AA00,AA36,5.1
R,AA37,AA3F,0
C,AA40,AA4D,5.1
R,AA4E,AA4F,0
C,AA50,AA59,5.1
R,AA5A,AA5B,0
C,AA5C,AA5F,5.1
C,AA60,AA7B,5.2
C,AA7C,AA7F,7.0
C,AA80,AAC2,5.2
R,AAC3,AADA,0
C,AADB,AADF,5.2
C,AAE0,AAF6,6.1
R,AAF7,AB00,0
C,AB01,AB06,6.0
R,AB07,AB08,0
C,AB09,AB0E,6.0
R,AB0F,AB10,0
C,AB11,AB16,6.0
R,AB17,AB1F,0
C,AB20,AB26,6.0
R,AB27,AB27,0
C,AB28,AB2E,6.0
R,AB2F,AB2F,0
C,AB30,AB5F,7.0
C,AB60,AB63,8.0
C,AB64,AB65,7.0
C,AB66,AB67,12.0
R,AB68,AB6F,0
C,AB70,ABBF,8.0
C,ABC0,ABED,5.2
R,ABEE,ABEF,0
C,ABF0,ABF9,5.2
R,ABFA,ABFF,0
C,AC00,D7A3,2.0
R,D7A4,D7AF,0
C,D7B0,D7C6,5.2
R,D7C7,D7CA,0
C,D7CB,D7FB,5.2
R,D7FC,D7FF,0
S,D800,DFFF,2.0
C,E000,FA2D,1.1
C,FA2E,FA2F,6.1
C,FA30,FA6A,3.2
C,FA6B,FA6D,5.2
R,FA6E,FA6F,0
C,FA70,FAD9,4.1
R,FADA,FAFF,0
C,FB00,FB06,1.1
R,FB07,FB12,0
C,FB13,FB17,1.1
R,FB18,FB1C,0
C,FB1D,FB1D,3.0
C,FB1E,FB36,1.1
R,FB37,FB37,0
C,FB38,FB3C,1.1
R,FB3D,FB3D,0
C,FB3E,FB3E,1.1
R,FB3F,FB3F,0
C,FB40,FB41,1.1
R,FB42,FB42,0
C,FB43,FB44,1.1
R,FB45,FB45,0
C,FB46,FBB1,1.1
C,FBB2,FBC1,6.0
R,FBC2,FBD2,0
C,FBD3,FD3F,1.1
R,FD40,FD4F,0
C,FD50,FD8F,1.1
R,FD90,FD91,0
C,FD92,FDC7,1.1
R,FDC8,FDCF,0
N,FDD0,FDEF,3.1
C,FDF0,FDFB,1.1
C,FDFC,FDFC,3.2
C,FDFD,FDFD,4.0
R,FDFE,FDFF,0
C,FE00,FE0F,3.2
C,FE10,FE19,4.1
R,FE1A,FE1F,0
C,FE20,FE23,1.1
C,FE24,FE26,5.1
C,FE27,FE2D,7.0
C,FE2E,FE2F,8.0
C,FE30,FE44,1.1
C,FE45,FE46,3.2
C,FE47,FE48,4.0
C,FE49,FE52,1.1
R,FE53,FE53,0
C,FE54,FE66,1.1
R,FE67,FE67,0
C,FE68,FE6B,1.1
R,FE6C,FE6F,0
C,FE70,FE72,1.1
C,FE73,FE73,3.2
C,FE74,FE74,1.1
R,FE75,FE75,0
C,FE76,FEFC,1.1
R,FEFD,FEFE,0
C,FEFF,FEFF,1.1
R,FF00,FF00,0
C,FF01,FF5E,1.1
C,FF5F,FF60,3.2
C,FF61,FFBE,1.1
R,FFBF,FFC1,0
C,FFC2,FFC7,1.1
R,FFC8,FFC9,0
C,FFCA,FFCF,1.1
R,FFD0,FFD1,0
C,FFD2,FFD7,1.1
R,FFD8,FFD9,0
C,FFDA,FFDC,1.1
R,FFDD,FFDF,0
C,FFE0,FFE6,1.1
R,FFE7,FFE7,0
C,FFE8,FFEE,1.1
R,FFEF,FFF8,0
C,FFF9,FFFB,3.0
C,FFFC,FFFC,2.1
C,FFFD,FFFD,1.1
N,FFFE,FFFF,1.1
C,10000,1000B,4.0
R,1000C,1000C,0
C,1000D,10026,4.0
R,10027,10027,0
C,10028,1003A,4.0
R,1003B,1003B,0
C,1003C,1003D,4.0
R,1003E,1003E,0
C,1003F,1004D,4.0
R,1004E,1004F,0
C,10050,1005D,4.0
R,1005E,1007F,0
C,10080,100FA,4.0
R,100FB,100FF,0
C,10100,10102,4.0
R,10103,10106,0
C,10107,10133,4.0
R,10134,10136,0
C,10137,1013F,4.0
C,10140,1018A,4.1
C,1018B,1018C,7.0
C,1018D,1018E,9.0
R,1018F,1018F,0
C,10190,1019B,5.1
R,1019C,1019F,0
C,101A0,101A0,7.0
R,101A1,101CF,0
C,101D0,101FD,5.1
R,101FE,1027F,0
C,10280,1029C,5.1
R,1029D,1029F,0
C,102A0,102D0,5.1
R,102D1,102DF,0
C,102E0,102FB,7.0
R,102FC,102FF,0
C,10300,1031E,3.1
C,1031F,1031F,7.0
C,10320,10323,3.1
R,10324,1032C,0
C,1032D,1032F,10.0
C,10330,1034A,3.1
R,1034B,1034F,0
C,10350,1037A,7.0
R,1037B,1037F,0
C,10380,1039D,4.0
R,1039E,1039E,0
C,1039F,1039F,4.0
C,103A0,103C3,4.1
R,103C4,103C7,0
C,103C8,103D5,4.1
R,103D6,103FF,0
C,10400,10425,3.1
C,10426,10427,4.0
C,10428,1044D,3.1
C,1044E,1049D,4.0
R,1049E,1049F,0
C,104A0,104A9,4.0
R,104AA,104AF,0
C,104B0,104D3,9.0
R,104D4,104D7,0
C,104D8,104FB,9.0
R,104FC,104FF,0
C,10500,10527,7.0
R,10528,1052F,0
C,10530,10563,7.0
R,10564,1056E,0
C,1056F,1056F,7.0
R,10570,105FF,0
C,10600,10736,7.0
R,10737,1073F,0
C,10740,10755,7.0
R,10756,1075F,0
C,10760,10767,7.0
R,10768,107FF,0
C,10800,10805,4.0
R,10806,10807,0
C,10808,10808,4.0
R,10809,10809,0
C,1080A,10835,4.0
R,10836,10836,0
C,10837,10838,4.0
R,10839,1083B,0
C,1083C,1083C,4.0
R,1083D,1083E,0
C,1083F,1083F,4.0
C,10840,10855,5.2
R,10856,10856,0
C,10857,1085F,5.2
C,10860,1089E,7.0
R,1089F,108A6,0
C,108A7,108AF,7.0
R,108B0,108DF,0
C,108E0,108F2,8.0
R,108F3,108F3,0
C,108F4,108F5,8.0
R,108F6,108FA,0
C,108FB,108FF,8.0
C,10900,10919,5.0
C,1091A,1091B,5.2
R,1091C,1091E,0
C,1091F,1091F,5.0
C,10920,10939,5.1
R,1093A,1093E,0
C,1093F,1093F,5.1
R,10940,1097F,0
C,10980,109B7,6.1
R,109B8,109BB,0
C,109BC,109BD,8.0
C,109BE,109BF,6.1
C,109C0,109CF,8.0
R,109D0,109D1,0
C,109D2,109FF,8.0
C,10A00,10A03,4.1
R,10A04,10A04,0
C,10A05,10A06,4.1
R,10A07,10A0B,0
C,10A0C,10A13,4.1
R,10A14,10A14,0
C,10A15,10A17,4.1
R,10A18,10A18,0
C,10A19,10A33,4.1
C,10A34,10A35,11.0
R,10A36,10A37,0
C,10A38,10A3A,4.1
R,10A3B,10A3E,0
C,10A3F,10A47,4.1
C,10A48,10A48,11.0
R,10A49,10A4F,0
C,10A50,10A58,4.1
R,10A59,10A5F,0
C,10A60,10A7F,5.2
C,10A80,10A9F,7.0
R,10AA0,10ABF,0
C,10AC0,10AE6,7.0
R,10AE7,10AEA,0
C,10AEB,10AF6,7.0
R,10AF7,10AFF,0
C,10B00,10B35,5.2
R,10B36,10B38,0
C,10B39,10B55,5.2
R,10B56,10B57,0
C,10B58,10B72,5.2
R,10B73,10B77,0
C,10B78,10B7F,5.2
C,10B80,10B91,7.0
R,10B92,10B98,0
C,10B99,10B9C,7.0
R,10B9D,10BA8,0
C,10BA9,10BAF,7.0
R,10BB0,10BFF,0
C,10C00,10C48,5.2
R,10C49,10C7F,0
C,10C80,10CB2,8.0
R,10CB3,10CBF,0
C,10CC0,10CF2,8.0
R,10CF3,10CF9,0
C,10CFA,10CFF,8.0
C,10D00,10D27,11.0
R,10D28,10D2F,0
C,10D30,10D39,11.0
R,10D3A,10E5F,0
C,10E60,10E7E,5.2
R,10E7F,10EFF,0
C,10F00,10F27,11.0
R,10F28,10F2F,0
C,10F30,10F59,11.0
R,10F5A,10FDF,0
C,10FE0,10FF6,12.0
R,10FF7,10FFF,0
C,11000,1104D,6.0
R,1104E,11051,0
C,11052,1106F,6.0
R,11070,1107E,0
C,1107F,1107F,7.0
C,11080,110C1,5.2
R,110C2,110CC,0
C,110CD,110CD,11.0
R,110CE,110CF,0
C,110D0,110E8,6.1
R,110E9,110EF,0
C,110F0,110F9,6.1
R,110FA,110FF,0
C,11100,11134,6.1
R,11135,11135,0
C,11136,11143,6.1
C,11144,11146,11.0
R,11147,1114F,0
C,11150,11176,7.0
R,11177,1117F,0
C,11180,111C8,6.1
C,111C9,111CC,8.0
C,111CD,111CD,7.0
R,111CE,111CF,0
C,111D0,111D9,6.1
C,111DA,111DA,7.0
C,111DB,111DF,8.0
R,111E0,111E0,0
C,111E1,111F4,7.0
R,111F5,111FF,0
C,11200,11211,7.0
R,11212,11212,0
C,11213,1123D,7.0
C,1123E,1123E,9.0
R,1123F,1127F,0
C,11280,11286,8.0
R,11287,11287,0
C,11288,11288,8.0
R,11289,11289,0
C,1128A,1128D,8.0
R,1128E,1128E,0
C,1128F,1129D,8.0
R,1129E,1129E,0
C,1129F,112A9,8.0
R,112AA,112AF,0
C,112B0,112EA,7.0
R,112EB,112EF,0
C,112F0,112F9,7.0
R,112FA,112FF,0
C,11300,11300,8.0
C,11301,11303,7.0
R,11304,11304,0
C,11305,1130C,7.0
R,1130D,1130E,0
C,1130F,11310,7.0
R,11311,11312,0
C,11313,11328,7.0
R,11329,11329,0
C,1132A,11330,7.0
R,11331,11331,0
C,11332,11333,7.0
R,11334,11334,0
C,11335,11339,7.0
R,1133A,1133A,0
C,1133B,1133B,11.0
C,1133C,11344,7.0
R,11345,11346,0
C,11347,11348,7.0
R,11349,1134A,0
C,1134B,1134D,7.0
R,1134E,1134F,0
C,11350,11350,8.0
R,11351,11356,0
C,11357,11357,7.0
R,11358,1135C,0
C,1135D,11363,7.0
R,11364,11365,0
C,11366,1136C,7.0
R,1136D,1136F,0
C,11370,11374,7.0
R,11375,113FF,0
C,11400,11459,9.0
R,1145A,1145A,0
C,1145B,1145B,9.0
R,1145C,1145C,0
C,1145D,1145D,9.0
C,1145E,1145E,11.0
C,1145F,1145F,12.0
R,11460,1147F,0
C,11480,114C7,7.0
R,114C8,114CF,0
C,114D0,114D9,7.0
R,114DA,1157F,0
C,11580,115B5,7.0
R,115B6,115B7,0
C,115B8,115C9,7.0
C,115CA,115DD,8.0
R,115DE,115FF,0
C,11600,11644,7.0
R,11645,1164F,0
C,11650,11659,7.0
R,1165A,1165F,0
C,11660,1166C,9.0
R,1166D,1167F,0
C,11680,116B7,6.1
C,116B8,116B8,12.0
R,116B9,116BF,0
C,116C0,116C9,6.1
R,116CA,116FF,0
C,11700,11719,8.0
C,1171A,1171A,11.0
R,1171B,1171C,0
C,1171D,1172B,8.0
R,1172C,1172F,0
C,11730,1173F,8.0
R,11740,117FF,0
C,11800,1183B,11.0
R,1183C,1189F,0
C,118A0,118F2,7.0
R,118F3,118FE,0
C,118FF,118FF,7.0
R,11900,1199F,0
C,119A0,119A7,12.0
R,119A8,119A9,0
C,119AA,119D7,12.0
R,119D8,119D9,0
C,119DA,119E4,12.0
R,119E5,119FF,0
C,11A00,11A47,10.0
R,11A48,11A4F,0
C,11A50,11A83,10.0
C,11A84,11A85,12.0
C,11A86,11A9C,10.0
C,11A9D,11A9D,11.0
C,11A9E,11AA2,10.0
R,11AA3,11ABF,0
C,11AC0,11AF8,7.0
R,11AF9,11BFF,0
C,11C00,11C08,9.0
R,11C09,11C09,0
C,11C0A,11C36,9.0
R,11C37,11C37,0
C,11C38,11C45,9.0
R,11C46,11C4F,0
C,11C50,11C6C,9.0
R,11C6D,11C6F,0
C,11C70,11C8F,9.0
R,11C90,11C91,0
C,11C92,11CA7,9.0
R,11CA8,11CA8,0
C,11CA9,11CB6,9.0
R,11CB7,11CFF,0
C,11D00,11D06,10.0
R,11D07,11D07,0
C,11D08,11D09,10.0
R,11D0A,11D0A,0
C,11D0B,11D36,10.0
R,11D37,11D39,0
C,11D3A,11D3A,10.0
R,11D3B,11D3B,0
C,11D3C,11D3D,10.0
R,11D3E,11D3E,0
C,11D3F,11D47,10.0
R,11D48,11D4F,0
C,11D50,11D59,10.0
R,11D5A,11D5F,0
C,11D60,11D65,11.0
R,11D66,11D66,0
C,11D67,11D68,11.0
R,11D69,11D69,0
C,11D6A,11D8E,11.0
R,11D8F,11D8F,0
C,11D90,11D91,11.0
R,11D92,11D92,0
C,11D93,11D98,11.0
R,11D99,11D9F,0
C,11DA0,11DA9,11.0
R,11DAA,11EDF,0
C,11EE0,11EF8,11.0
R,11EF9,11FBF,0
C,11FC0,11FF1,12.0
R,11FF2,11FFE,0
C,11FFF,11FFF,12.0
C,12000,1236E,5.0
C,1236F,12398,7.0
C,12399,12399,8.0
R,1239A,123FF,0
C,12400,12462,5.0
C,12463,1246E,7.0
R,1246F,1246F,0
C,12470,12473,5.0
C,12474,12474,7.0
R,12475,1247F,0
C,12480,12543,8.0
R,12544,12FFF,0
C,13000,1342E,5.2
R,1342F,1342F,0
C,13430,13438,12.0
R,13439,143FF,0
C,14400,14646,8.0
R,14647,167FF,0
C,16800,16A38,6.0
R,16A39,16A3F,0
C,16A40,16A5E,7.0
R,16A5F,16A5F,0
C,16A60,16A69,7.0
R,16A6A,16A6D,0
C,16A6E,16A6F,7.0
R,16A70,16ACF,0
C,16AD0,16AED,7.0
R,16AEE,16AEF,0
C,16AF0,16AF5,7.0
R,16AF6,16AFF,0
C,16B00,16B45,7.0
R,16B46,16B4F,0
C,16B50,16B59,7.0
R,16B5A,16B5A,0
C,16B5B,16B61,7.0
R,16B62,16B62,0
C,16B63,16B77,7.0
R,16B78,16B7C,0
C,16B7D,16B8F,7.0
R,16B90,16E3F,0
C,16E40,16E9A,11.0
R,16E9B,16EFF,0
C,16F00,16F44,6.1
C,16F45,16F4A,12.0
R,16F4B,16F4E,0
C,16F4F,16F4F,12.0
C,16F50,16F7E,6.1
C,16F7F,16F87,12.0
R,16F88,16F8E,0
C,16F8F,16F9F,6.1
R,16FA0,16FDF,0
C,16FE0,16FE0,9.0
C,16FE1,16FE1,10.0
C,16FE2,16FE3,12.0
R,16FE4,16FFF,0
C,17000,187EC,9.0
C,187ED,187F1,11.0
C,187F2,187F7,12.0
R,187F8,187FF,0
C,18800,18AF2,9.0
R,18AF3,1AFFF,0
C,1B000,1B001,6.0
C,1B002,1B11E,10.0
R,1B11F,1B14F,0
C,1B150,1B152,12.0
R,1B153,1B163,0
C,1B164,1B167,12.0
R,1B168,1B16F,0
C,1B170,1B2FB,10.0
R,1B2FC,1BBFF,0
C,1BC00,1BC6A,7.0
R,1BC6B,1BC6F,0
C,1BC70,1BC7C,7.0
R,1BC7D,1BC7F,0
C,1BC80,1BC88,7.0
R,1BC89,1BC8F,0
C,1BC90,1BC99,7.0
R,1BC9A,1BC9B,0
C,1BC9C,1BCA3,7.0
R,1BCA4,1CFFF,0
C,1D000,1D0F5,3.1
R,1D0F6,1D0FF,0
C,1D100,1D126,3.1
R,1D127,1D128,0
C,1D129,1D129,5.1
C,1D12A,1D1DD,3.1
C,1D1DE,1D1E8,8.0
R,1D1E9,1D1FF,0
C,1D200,1D245,4.1
R,1D246,1D2DF,0
C,1D2E0,1D2F3,11.0
R,1D2F4,1D2FF,0
C,1D300,1D356,4.0
R,1D357,1D35F,0
C,1D360,1D371,5.0
C,1D372,1D378,11.0
R,1D379,1D3FF,0
C,1D400,1D454,3.1
R,1D455,1D455,0
C,1D456,1D49C,3.1
R,1D49D,1D49D,0
C,1D49E,1D49F,3.1
R,1D4A0,1D4A1,0
C,1D4A2,1D4A2,3.1
R,1D4A3,1D4A4,0
C,1D4A5,1D4A6,3.1
R,1D4A7,1D4A8,0
C,1D4A9,1D4AC,3.1
R,1D4AD,1D4AD,0
C,1D4AE,1D4B9,3.1
R,1D4BA,1D4BA,0
C,1D4BB,1D4BB,3.1
R,1D4BC,1D4BC,0
C,1D4BD,1D4C0,3.1
C,1D4C1,1D4C1,4.0
C,1D4C2,1D4C3,3.1
R,1D4C4,1D4C4,0
C,1D4C5,1D505,3.1
R,1D506,1D506,0
C,1D507,1D50A,3.1
R,1D50B,1D50C,0
C,1D50D,1D514,3.1
R,1D515,1D515,0
C,1D516,1D51C,3.1
R,1D51D,1D51D,0
C,1D51E,1D539,3.1
R,1D53A,1D53A,0
C,1D53B,1D53E,3.1
R,1D53F,1D53F,0
C,1D540,1D544,3.1
R,1D545,1D545,0
C,1D546,1D546,3.1
R,1D547,1D549,0
C,1D54A,1D550,3.1
R,1D551,1D551,0
C,1D552,1D6A3,3.1
C,1D6A4,1D6A5,4.1
R,1D6A6,1D6A7,0
C,1D6A8,1D7C9,3.1
C,1D7CA,1D7CB,5.0
R,1D7CC,1D7CD,0
C,1D7CE,1D7FF,3.1
C,1D800,1DA8B,8.0
R,1DA8C,1DA9A,0
C,1DA9B,1DA9F,8.0
R,1DAA0,1DAA0,0
C,1DAA1,1DAAF,8.0
R,1DAB0,1DFFF,0
C,1E000,1E006,9.0
R,1E007,1E007,0
C,1E008,1E018,9.0
R,1E019,1E01A,0
C,1E01B,1E021,9.0
R,1E022,1E022,0
C,1E023,1E024,9.0
R,1E025,1E025,0
C,1E026,1E02A,9.0
R,1E02B,1E0FF,0
C,1E100,1E12C,12.0
R,1E12D,1E12F,0
C,1E130,1E13D,12.0
R,1E13E,1E13F,0
C,1E140,1E149,12.0
R,1E14A,1E14D,0
C,1E14E,1E14F,12.0
R,1E150,1E2BF,0
C,1E2C0,1E2F9,12.0
R,1E2FA,1E2FE,0
C,1E2FF,1E2FF,12.0
R,1E300,1E7FF,0
C,1E800,1E8C4,7.0
R,1E8C5,1E8C6,0
C,1E8C7,1E8D6,7.0
R,1E8D7,1E8FF,0
C,1E900,1E94A,9.0
C,1E94B,1E94B,12.0
R,1E94C,1E94F,0
C,1E950,1E959,9.0
R,1E95A,1E95D,0
C,1E95E,1E95F,9.0
R,1E960,1EC70,0
C,1EC71,1ECB4,11.0
R,1ECB5,1ED00,0
C,1ED01,1ED3D,12.0
R,1ED3E,1EDFF,0
C,1EE00,1EE03,6.1
R,1EE04,1EE04,0
C,1EE05,1EE1F,6.1
R,1EE20,1EE20,0
C,1EE21,1EE22,6.1
R,1EE23,1EE23,0
C,1EE24,1EE24,6.1
R,1EE25,1EE26,0
C,1EE27,1EE27,6.1
R,1EE28,1EE28,0
C,1EE29,1EE32,6.1
R,1EE33,1EE33,0
C,1EE34,1EE37,6.1
R,1EE38,1EE38,0
C,1EE39,1EE39,6.1
R,1EE3A,1EE3A,0
C,1EE3B,1EE3B,6.1
R,1EE3C,1EE41,0
C,1EE42,1EE42,6.1
R,1EE43,1EE46,0
C,1EE47,1EE47,6.1
R,1EE48,1EE48,0
C,1EE49,1EE49,6.1
R,1EE4A,1EE4A,0
C,1EE4B,1EE4B,6.1
R,1EE4C,1EE4C,0
C,1EE4D,1EE4F,6.1
R,1EE50,1EE50,0
C,1EE51,1EE52,6.1
R,1EE53,1EE53,0
C,1EE54,1EE54,6.1
R,1EE55,1EE56,0
C,1EE57,1EE57,6.1
R,1EE58,1EE58,0
C,1EE59,1EE59,6.1
R,1EE5A,1EE5A,0
C,1EE5B,1EE5B,6.1
R,1EE5C,1EE5C,0
C,1EE5D,1EE5D,6.1
R,1EE5E,1EE5E,0
C,1EE5F,1EE5F,6.1
R,1EE60,1EE60,0
C,1EE61,1EE62,6.1
R,1EE63,1EE63,0
C,1EE64,1EE64,6.1
R,1EE65,1EE66,0
C,1EE67,1EE6A,6.1
R,1EE6B,1EE6B,0
C,1EE6C,1EE72,6.1
R,1EE73,1EE73,0
C,1EE74,1EE77,6.1
R,1EE78,1EE78,0
C,1EE79,1EE7C,6.1
R,1EE7D,1EE7D,0
C,1EE7E,1EE7E,6.1
R,1EE7F,1EE7F,0
C,1EE80,1EE89,6.1
R,1EE8A,1EE8A,0
C,1EE8B,1EE9B,6.1
R,1EE9C,1EEA0,0
C,1EEA1,1EEA3,6.1
R,1EEA4,1EEA4,0
C,1EEA5,1EEA9,6.1
R,1EEAA,1EEAA,0
C,1EEAB,1EEBB,6.1
R,1EEBC,1EEEF,0
C,1EEF0,1EEF1,6.1
R,1EEF2,1EFFF,0
C,1F000,1F02B,5.1
R,1F02C,1F02F,0
C,1F030,1F093,5.1
R,1F094,1F09F,0
C,1F0A0,1F0AE,6.0
R,1F0AF,1F0B0,0
C,1F0B1,1F0BE,6.0
C,1F0BF,1F0BF,7.0
R,1F0C0,1F0C0,0
C,1F0C1,1F0CF,6.0
R,1F0D0,1F0D0,0
C,1F0D1,1F0DF,6.0
C,1F0E0,1F0F5,7.0
R,1F0F6,1F0FF,0
C,1F100,1F10A,5.2
C,1F10B,1F10C,7.0
R,1F10D,1F10F,0
C,1F110,1F12E,5.2
C,1F12F,1F12F,11.0
C,1F130,1F130,6.0
C,1F131,1F131,5.2
C,1F132,1F13C,6.0
C,1F13D,1F13D,5.2
C,1F13E,1F13E,6.0
C,1F13F,1F13F,5.2
C,1F140,1F141,6.0
C,1F142,1F142,5.2
C,1F143,1F145,6.0
C,1F146,1F146,5.2
C,1F147,1F149,6.0
C,1F14A,1F14E,5.2
C,1F14F,1F156,6.0
C,1F157,1F157,5.2
C,1F158,1F15E,6.0
C,1F15F,1F15F,5.2
C,1F160,1F169,6.0
C,1F16A,1F16B,6.1
C,1F16C,1F16C,12.0
R,1F16D,1F16F,0
C,1F170,1F178,6.0
C,1F179,1F179,5.2
C,1F17A,1F17A,6.0
C,1F17B,1F17C,5.2
C,1F17D,1F17E,6.0
C,1F17F,1F17F,5.2
C,1F180,1F189,6.0
C,1F18A,1F18D,5.2
C,1F18E,1F18F,6.0
C,1F190,1F190,5.2
C,1F191,1F19A,6.0
C,1F19B,1F1AC,9.0
R,1F1AD,1F1E5,0
C,1F1E6,1F1FF,6.0
C,1F200,1F200,5.2
C,1F201,1F202,6.0
R,1F203,1F20F,0
C,1F210,1F231,5.2
C,1F232,1F23A,6.0
C,1F23B,1F23B,9.0
R,1F23C,1F23F,0
C,1F240,1F248,5.2
R,1F249,1F24F,0
C,1F250,1F251,6.0
R,1F252,1F25F,0
C,1F260,1F265,10.0
R,1F266,1F2FF,0
C,1F300,1F320,6.0
C,1F321,1F32C,7.0
C,1F32D,1F32F,8.0
C,1F330,1F335,6.0
C,1F336,1F336,7.0
C,1F337,1F37C,6.0
C,1F37D,1F37D,7.0
C,1F37E,1F37F,8.0
C,1F380,1F393,6.0
C,1F394,1F39F,7.0
C,1F3A0,1F3C4,6.0
C,1F3C5,1F3C5,7.0
C,1F3C6,1F3CA,6.0
C,1F3CB,1F3CE,7.0
C,1F3CF,1F3D3,8.0
C,1F3D4,1F3DF,7.0
C,1F3E0,1F3F0,6.0
C,1F3F1,1F3F7,7.0
C,1F3F8,1F3FF,8.0
C,1F400,1F43E,6.0
C,1F43F,1F43F,7.0
C,1F440,1F440,6.0
C,1F441,1F441,7.0
C,1F442,1F4F7,6.0
C,1F4F8,1F4F8,7.0
C,1F4F9,1F4FC,6.0
C,1F4FD,1F4FE,7.0
