總類,起始,結束,版本
C,0A13,0A28,1.1
R,0A29,0A29,0
C,0A2A,0A30,1.1
R,0A31,0A31,0
C,0A32,0A33,1.1
R,0A34,0A34,0
C,0A35,0A36,1.1
R,0A37,0A37,0
C,0A38,0A39,1.1
R,0A3A,0A3B,0
C,0A3C,0A3C,1.1
R,0A3D,0A3D,0
C,0A3E,0A42,1.1
R,0A43,0A46,0
C,0A47,0A48,1.1
R,0A49,0A4A,0
C,0A4B,0A4D,1.1
R,0A4E,0A50,0
C,0A51,0A51,5.1
R,0A52,0A58,0
C,0A59,0A5C,1.1
R,0A5D,0A5D,0
C,0A5E,0A5E,1.1
R,0A5F,0A65,0
C,0A66,0A74,1.1
C,0A75,0A75,5.1
C,0A76,0A76,11.0
R,0A77,0A80,0
C,0A81,0A83,1.1
R,0A84,0A84,0
C,0A85,0A8B,1.1
C,0A8C,0A8C,4.0
C,0A8D,0A8D,1.1
R,0A8E,0A8E,0
C,0A8F,0A91,1.1
R,0A92,0A92,0
C,0A93,0AA8,1.1
R,0AA9,0AA9,0
C,0AAA,0AB0,1.1
R,0AB1,0AB1,0
C,0AB2,0AB3,1.1
R,0AB4,0AB4,0
C,0AB5,0AB9,1.1
R,0ABA,0ABB,0
C,0ABC,0AC5,1.1
R,0AC6,0AC6,0
C,0AC7,0AC9,1.1
R,0ACA,0ACA,0
C,0ACB,0ACD,1.1
R,0ACE,0ACF,0
C,0AD0,0AD0,1.1
R,0AD1,0ADF,0
C,0AE0,0AE0,1.1
C,0AE1,0AE3,4.0
R,0AE4,0AE5,0
C,0AE6,0AEF,1.1
C,0AF0,0AF0,6.1
C,0AF1,0AF1,4.0
R,0AF2,0AF8,0
C,0AF9,0AF9,8.0
C,0AFA,0AFF,10.0
R,0B00,0B00,0
C,0B01,0B03,1.1
R,0B04,0B04,0
C,0B05,0B0C,1.1
R,0B0D,0B0E,0
C,0B0F,0B10,1.1
R,0B11,0B12,0
C,0B13,0B28,1.1
R,0B29,0B29,0
C,0B2A,0B30,1.1
R,0B31,0B31,0
C,0B32,0B33,1.1
R,0B34,0B34,0
C,0B35,0B35,4.0
C,0B36,0B39,1.1
R,0B3A,0B3B,0
C,0B3C,0B43,1.1
C,0B44,0B44,5.1
R,0B45,0B46,0
C,0B47,0B48,1.1
R,0B49,0B4A,0
C,0B4B,0B4D,1.1
R,0B4E,0B55,0
C,0B56,0B57,1.1
R,0B58,0B5B,0
C,0B5C,0B5D,1.1
R,0B5E,0B5E,0
C,0B5F,0B61,1.1
C,0B62,0B63,5.1
R,0B64,0B65,0
C,0B66,0B70,1.1
C,0B71,0B71,4.0
C,0B72,0B77,6.0
R,0B78,0B81,0
C,0B82,0B83,1.1
R,0B84,0B84,0
C,0B85,0B8A,1.1
R,0B8B,0B8D,0
C,0B8E,0B90,1.1
R,0B91,0B91,0
C,0B92,0B95,1.1
R,0B96,0B98,0
C,0B99,0B9A,1.1
R,0B9B,0B9B,0
C,0B9C,0B9C,1.1
R,0B9D,0B9D,0
C,0B9E,0B9F,1.1
R,0BA0,0BA2,0
C,0BA3,0BA4,1.1
R,0BA5,0BA7,0
C,0BA8,0BAA,1.1
R,0BAB,0BAD,0
C,0BAE,0BB5,1.1
C,0BB6,0BB6,4.1
C,0BB7,0BB9,1.1
R,0BBA,0BBD,0
C,0BBE,0BC2,1.1
R,0BC3,0BC5,0
C,0BC6,0BC8,1.1
R,0BC9,0BC9,0
C,0BCA,0BCD,1.1
R,0BCE,0BCF,0
C,0BD0,0BD0,5.1
R,0BD1,0BD6,0
C,0BD7,0BD7,1.1
R,0BD8,0BE5,0
C,0BE6,0BE6,4.1
C,0BE7,0BF2,1.1
C,0BF3,0BFA,4.0
R,0BFB,0BFF,0
C,0C00,0C00,7.0
C,0C01,0C03,1.1
C,0C04,0C04,11.0
C,0C05,0C0C,1.1
R,0C0D,0C0D,0
C,0C0E,0C10,1.1
R,0C11,0C11,0
C,0C12,0C28,1.1
R,0C29,0C29,0
C,0C2A,0C33,1.1
C,0C34,0C34,7.0
C,0C35,0C39,1.1
R,0C3A,0C3C,0
C,0C3D,0C3D,5.1
C,0C3E,0C44,1.1
R,0C45,0C45,0
C,0C46,0C48,1.1
R,0C49,0C49,0
C,0C4A,0C4D,1.1
R,0C4E,0C54,0
C,0C55,0C56,1.1
R,0C57,0C57,0
C,0C58,0C59,5.1
C,0C5A,0C5A,8.0
R,0C5B,0C5F,0
C,0C60,0C61,1.1
C,0C62,0C63,5.1
R,0C64,0C65,0
C,0C66,0C6F,1.1
R,0C70,0C76,0
C,0C77,0C77,12.0
C,0C78,0C7F,5.1
C,0C80,0C80,9.0
C,0C81,0C81,7.0
C,0C82,0C83,1.1
C,0C84,0C84,11.0
C,0C85,0C8C,1.1
R,0C8D,0C8D,0
C,0C8E,0C90,1.1
R,0C91,0C91,0
C,0C92,0CA8,1.1
R,0CA9,0CA9,0
C,0CAA,0CB3,1.1
R,0CB4,0CB4,0
C,0CB5,0CB9,1.1
R,0CBA,0CBB,0
C,0CBC,0CBD,4.0
C,0CBE,0CC4,1.1
R,0CC5,0CC5,0
C,0CC6,0CC8,1.1
R,0CC9,0CC9,0
C,0CCA,0CCD,1.1
R,0CCE,0CD4,0
C,0CD5,0CD6,1.1
R,0CD7,0CDD,0
C,0CDE,0CDE,1.1
R,0CDF,0CDF,0
C,0CE0,0CE1,1.1
C,0CE2,0CE3,5.0
R,0CE4,0CE5,0
C,0CE6,0CEF,1.1
R,0CF0,0CF0,0
C,0CF1,0CF2,5.0
R,0CF3,0CFF,0
C,0D00,0D00,10.0
C,0D01,0D01,7.0
C,0D02,0D03,1.1
R,0D04,0D04,0
C,0D05,0D0C,1.1
R,0D0D,0D0D,0
C,0D0E,0D10,1.1
